data\raw\images\s2_0261.tif,data\raw\masks\mask_0261.tif
data\raw\images\s2_0252.tif,data\raw\masks\mask_0252.tif
data\raw\images\s2_0101.tif,data\raw\masks\mask_0101.tif
data\raw\images\s2_0338.tif,data\raw\masks\mask_0338.tif
data\raw\images\s2_0150.tif,data\raw\masks\mask_0150.tif
data\raw\images\s2_0183.tif,data\raw\masks\mask_0183.tif
data\raw\images\s2_0069.tif,data\raw\masks\mask_0069.tif
data\raw\images\s2_0368.tif,data\raw\masks\mask_0368.tif
data\raw\images\s2_0047.tif,data\raw\masks\mask_0047.tif
data\raw\images\s2_0238.tif,data\raw\masks\mask_0238.tif
data\raw\images\s2_0151.tif,data\raw\masks\mask_0151.tif
data\raw\images\s2_0223.tif,data\raw\masks\mask_0223.tif
data\raw\images\s2_0078.tif,data\raw\masks\mask_0078.tif
data\raw\images\s2_0392.tif,data\raw\masks\mask_0392.tif
data\raw\images\s2_0351.tif,data\raw\masks\mask_0351.tif
data\raw\images\s2_0092.tif,data\raw\masks\mask_0092.tif
data\raw\images\s2_0404.tif,data\raw\masks\mask_0404.tif
data\raw\images\s2_0027.tif,data\raw\masks\mask_0027.tif
data\raw\images\s2_0075.tif,data\raw\masks\mask_0075.tif
data\raw\images\s2_0189.tif,data\raw\masks\mask_0189.tif
data\raw\images\s2_0032.tif,data\raw\masks\mask_0032.tif
data\raw\images\s2_0342.tif,data\raw\masks\mask_0342.tif
data\raw\images\s2_0136.tif,data\raw\masks\mask_0136.tif
data\raw\images\s2_0133.tif,data\raw\masks\mask_0133.tif
data\raw\images\s2_0129.tif,data\raw\masks\mask_0129.tif
data\raw\images\s2_0260.tif,data\raw\masks\mask_0260.tif
data\raw\images\s2_0349.tif,data\raw\masks\mask_0349.tif
data\raw\images\s2_0010.tif,data\raw\masks\mask_0010.tif
data\raw\images\s2_0068.tif,data\raw\masks\mask_0068.tif
data\raw\images\s2_0362.tif,data\raw\masks\mask_0362.tif
data\raw\images\s2_0366.tif,data\raw\masks\mask_0366.tif
data\raw\images\s2_0298.tif,data\raw\masks\mask_0298.tif
data\raw\images\s2_0067.tif,data\raw\masks\mask_0067.tif
data\raw\images\s2_0170.tif,data\raw\masks\mask_0170.tif
data\raw\images\s2_0089.tif,data\raw\masks\mask_0089.tif
data\raw\images\s2_0161.tif,data\raw\masks\mask_0161.tif
data\raw\images\s2_0126.tif,data\raw\masks\mask_0126.tif
data\raw\images\s2_0346.tif,data\raw\masks\mask_0346.tif
data\raw\images\s2_0236.tif,data\raw\masks\mask_0236.tif
data\raw\images\s2_0231.tif,data\raw\masks\mask_0231.tif
data\raw\images\s2_0077.tif,data\raw\masks\mask_0077.tif
data\raw\images\s2_0111.tif,data\raw\masks\mask_0111.tif
data\raw\images\s2_0213.tif,data\raw\masks\mask_0213.tif
data\raw\images\s2_0038.tif,data\raw\masks\mask_0038.tif
data\raw\images\s2_0221.tif,data\raw\masks\mask_0221.tif
data\raw\images\s2_0281.tif,data\raw\masks\mask_0281.tif
data\raw\images\s2_0242.tif,data\raw\masks\mask_0242.tif
data\raw\images\s2_0352.tif,data\raw\masks\mask_0352.tif
data\raw\images\s2_0175.tif,data\raw\masks\mask_0175.tif
data\raw\images\s2_0173.tif,data\raw\masks\mask_0173.tif
data\raw\images\s2_0097.tif,data\raw\masks\mask_0097.tif
data\raw\images\s2_0093.tif,data\raw\masks\mask_0093.tif
data\raw\images\s2_0373.tif,data\raw\masks\mask_0373.tif
data\raw\images\s2_0333.tif,data\raw\masks\mask_0333.tif
data\raw\images\s2_0178.tif,data\raw\masks\mask_0178.tif
data\raw\images\s2_0105.tif,data\raw\masks\mask_0105.tif
data\raw\images\s2_0166.tif,data\raw\masks\mask_0166.tif
data\raw\images\s2_0391.tif,data\raw\masks\mask_0391.tif
data\raw\images\s2_0307.tif,data\raw\masks\mask_0307.tif
data\raw\images\s2_0237.tif,data\raw\masks\mask_0237.tif
data\raw\images\s2_0197.tif,data\raw\masks\mask_0197.tif
data\raw\images\s2_0007.tif,data\raw\masks\mask_0007.tif
data\raw\images\s2_0253.tif,data\raw\masks\mask_0253.tif
data\raw\images\s2_0145.tif,data\raw\masks\mask_0145.tif
data\raw\images\s2_0232.tif,data\raw\masks\mask_0232.tif
data\raw\images\s2_0308.tif,data\raw\masks\mask_0308.tif
data\raw\images\s2_0372.tif,data\raw\masks\mask_0372.tif
data\raw\images\s2_0228.tif,data\raw\masks\mask_0228.tif
data\raw\images\s2_0297.tif,data\raw\masks\mask_0297.tif
data\raw\images\s2_0139.tif,data\raw\masks\mask_0139.tif
data\raw\images\s2_0100.tif,data\raw\masks\mask_0100.tif
data\raw\images\s2_0011.tif,data\raw\masks\mask_0011.tif
data\raw\images\s2_0277.tif,data\raw\masks\mask_0277.tif
data\raw\images\s2_0336.tif,data\raw\masks\mask_0336.tif
data\raw\images\s2_0072.tif,data\raw\masks\mask_0072.tif
data\raw\images\s2_0328.tif,data\raw\masks\mask_0328.tif
data\raw\images\s2_0006.tif,data\raw\masks\mask_0006.tif
data\raw\images\s2_0416.tif,data\raw\masks\mask_0416.tif
data\raw\images\s2_0295.tif,data\raw\masks\mask_0295.tif
data\raw\images\s2_0114.tif,data\raw\masks\mask_0114.tif
data\raw\images\s2_0156.tif,data\raw\masks\mask_0156.tif
data\raw\images\s2_0186.tif,data\raw\masks\mask_0186.tif
data\raw\images\s2_0118.tif,data\raw\masks\mask_0118.tif
data\raw\images\s2_0019.tif,data\raw\masks\mask_0019.tif
data\raw\images\s2_0262.tif,data\raw\masks\mask_0262.tif
data\raw\images\s2_0123.tif,data\raw\masks\mask_0123.tif
data\raw\images\s2_0259.tif,data\raw\masks\mask_0259.tif
data\raw\images\s2_0291.tif,data\raw\masks\mask_0291.tif
data\raw\images\s2_0164.tif,data\raw\masks\mask_0164.tif
data\raw\images\s2_0350.tif,data\raw\masks\mask_0350.tif
data\raw\images\s2_0412.tif,data\raw\masks\mask_0412.tif
data\raw\images\s2_0159.tif,data\raw\masks\mask_0159.tif
data\raw\images\s2_0369.tif,data\raw\masks\mask_0369.tif
data\raw\images\s2_0193.tif,data\raw\masks\mask_0193.tif
data\raw\images\s2_0388.tif,data\raw\masks\mask_0388.tif
data\raw\images\s2_0355.tif,data\raw\masks\mask_0355.tif
data\raw\images\s2_0108.tif,data\raw\masks\mask_0108.tif
data\raw\images\s2_0200.tif,data\raw\masks\mask_0200.tif
data\raw\images\s2_0026.tif,data\raw\masks\mask_0026.tif
data\raw\images\s2_0394.tif,data\raw\masks\mask_0394.tif
data\raw\images\s2_0345.tif,data\raw\masks\mask_0345.tif
data\raw\images\s2_0110.tif,data\raw\masks\mask_0110.tif
data\raw\images\s2_0211.tif,data\raw\masks\mask_0211.tif
data\raw\images\s2_0094.tif,data\raw\masks\mask_0094.tif
data\raw\images\s2_0380.tif,data\raw\masks\mask_0380.tif
data\raw\images\s2_0158.tif,data\raw\masks\mask_0158.tif
data\raw\images\s2_0290.tif,data\raw\masks\mask_0290.tif
data\raw\images\s2_0050.tif,data\raw\masks\mask_0050.tif
data\raw\images\s2_0109.tif,data\raw\masks\mask_0109.tif
data\raw\images\s2_0163.tif,data\raw\masks\mask_0163.tif
data\raw\images\s2_0065.tif,data\raw\masks\mask_0065.tif
data\raw\images\s2_0217.tif,data\raw\masks\mask_0217.tif
data\raw\images\s2_0154.tif,data\raw\masks\mask_0154.tif
data\raw\images\s2_0153.tif,data\raw\masks\mask_0153.tif
data\raw\images\s2_0315.tif,data\raw\masks\mask_0315.tif
data\raw\images\s2_0249.tif,data\raw\masks\mask_0249.tif
data\raw\images\s2_0210.tif,data\raw\masks\mask_0210.tif
data\raw\images\s2_0330.tif,data\raw\masks\mask_0330.tif
data\raw\images\s2_0312.tif,data\raw\masks\mask_0312.tif
data\raw\images\s2_0063.tif,data\raw\masks\mask_0063.tif
data\raw\images\s2_0137.tif,data\raw\masks\mask_0137.tif
data\raw\images\s2_0181.tif,data\raw\masks\mask_0181.tif
data\raw\images\s2_0088.tif,data\raw\masks\mask_0088.tif
data\raw\images\s2_0008.tif,data\raw\masks\mask_0008.tif
data\raw\images\s2_0387.tif,data\raw\masks\mask_0387.tif
data\raw\images\s2_0185.tif,data\raw\masks\mask_0185.tif
data\raw\images\s2_0401.tif,data\raw\masks\mask_0401.tif
data\raw\images\s2_0311.tif,data\raw\masks\mask_0311.tif
data\raw\images\s2_0018.tif,data\raw\masks\mask_0018.tif
data\raw\images\s2_0396.tif,data\raw\masks\mask_0396.tif
data\raw\images\s2_0289.tif,data\raw\masks\mask_0289.tif
data\raw\images\s2_0187.tif,data\raw\masks\mask_0187.tif
data\raw\images\s2_0279.tif,data\raw\masks\mask_0279.tif
data\raw\images\s2_0148.tif,data\raw\masks\mask_0148.tif
data\raw\images\s2_0275.tif,data\raw\masks\mask_0275.tif
data\raw\images\s2_0280.tif,data\raw\masks\mask_0280.tif
data\raw\images\s2_0090.tif,data\raw\masks\mask_0090.tif
data\raw\images\s2_0319.tif,data\raw\masks\mask_0319.tif
data\raw\images\s2_0276.tif,data\raw\masks\mask_0276.tif
data\raw\images\s2_0361.tif,data\raw\masks\mask_0361.tif
data\raw\images\s2_0031.tif,data\raw\masks\mask_0031.tif
data\raw\images\s2_0120.tif,data\raw\masks\mask_0120.tif
data\raw\images\s2_0138.tif,data\raw\masks\mask_0138.tif
data\raw\images\s2_0358.tif,data\raw\masks\mask_0358.tif
data\raw\images\s2_0254.tif,data\raw\masks\mask_0254.tif
data\raw\images\s2_0322.tif,data\raw\masks\mask_0322.tif
data\raw\images\s2_0179.tif,data\raw\masks\mask_0179.tif
data\raw\images\s2_0107.tif,data\raw\masks\mask_0107.tif
data\raw\images\s2_0375.tif,data\raw\masks\mask_0375.tif
data\raw\images\s2_0191.tif,data\raw\masks\mask_0191.tif
data\raw\images\s2_0344.tif,data\raw\masks\mask_0344.tif
data\raw\images\s2_0367.tif,data\raw\masks\mask_0367.tif
data\raw\images\s2_0340.tif,data\raw\masks\mask_0340.tif
data\raw\images\s2_0360.tif,data\raw\masks\mask_0360.tif
data\raw\images\s2_0282.tif,data\raw\masks\mask_0282.tif
data\raw\images\s2_0056.tif,data\raw\masks\mask_0056.tif
data\raw\images\s2_0310.tif,data\raw\masks\mask_0310.tif
data\raw\images\s2_0257.tif,data\raw\masks\mask_0257.tif
data\raw\images\s2_0248.tif,data\raw\masks\mask_0248.tif
data\raw\images\s2_0070.tif,data\raw\masks\mask_0070.tif
data\raw\images\s2_0044.tif,data\raw\masks\mask_0044.tif
data\raw\images\s2_0414.tif,data\raw\masks\mask_0414.tif
data\raw\images\s2_0127.tif,data\raw\masks\mask_0127.tif
data\raw\images\s2_0176.tif,data\raw\masks\mask_0176.tif
data\raw\images\s2_0220.tif,data\raw\masks\mask_0220.tif
data\raw\images\s2_0285.tif,data\raw\masks\mask_0285.tif
data\raw\images\s2_0205.tif,data\raw\masks\mask_0205.tif
data\raw\images\s2_0278.tif,data\raw\masks\mask_0278.tif
data\raw\images\s2_0332.tif,data\raw\masks\mask_0332.tif
data\raw\images\s2_0017.tif,data\raw\masks\mask_0017.tif
data\raw\images\s2_0218.tif,data\raw\masks\mask_0218.tif
data\raw\images\s2_0130.tif,data\raw\masks\mask_0130.tif
data\raw\images\s2_0196.tif,data\raw\masks\mask_0196.tif
data\raw\images\s2_0022.tif,data\raw\masks\mask_0022.tif
data\raw\images\s2_0021.tif,data\raw\masks\mask_0021.tif
data\raw\images\s2_0152.tif,data\raw\masks\mask_0152.tif
data\raw\images\s2_0234.tif,data\raw\masks\mask_0234.tif
data\raw\images\s2_0014.tif,data\raw\masks\mask_0014.tif
data\raw\images\s2_0064.tif,data\raw\masks\mask_0064.tif
data\raw\images\s2_0302.tif,data\raw\masks\mask_0302.tif
data\raw\images\s2_0216.tif,data\raw\masks\mask_0216.tif
data\raw\images\s2_0222.tif,data\raw\masks\mask_0222.tif
data\raw\images\s2_0235.tif,data\raw\masks\mask_0235.tif
data\raw\images\s2_0096.tif,data\raw\masks\mask_0096.tif
data\raw\images\s2_0321.tif,data\raw\masks\mask_0321.tif
data\raw\images\s2_0004.tif,data\raw\masks\mask_0004.tif
data\raw\images\s2_0329.tif,data\raw\masks\mask_0329.tif
data\raw\images\s2_0086.tif,data\raw\masks\mask_0086.tif
data\raw\images\s2_0160.tif,data\raw\masks\mask_0160.tif
data\raw\images\s2_0000.tif,data\raw\masks\mask_0000.tif
data\raw\images\s2_0408.tif,data\raw\masks\mask_0408.tif
data\raw\images\s2_0305.tif,data\raw\masks\mask_0305.tif
data\raw\images\s2_0327.tif,data\raw\masks\mask_0327.tif
data\raw\images\s2_0208.tif,data\raw\masks\mask_0208.tif
data\raw\images\s2_0325.tif,data\raw\masks\mask_0325.tif
data\raw\images\s2_0043.tif,data\raw\masks\mask_0043.tif
data\raw\images\s2_0283.tif,data\raw\masks\mask_0283.tif
data\raw\images\s2_0099.tif,data\raw\masks\mask_0099.tif
data\raw\images\s2_0040.tif,data\raw\masks\mask_0040.tif
data\raw\images\s2_0052.tif,data\raw\masks\mask_0052.tif
data\raw\images\s2_0162.tif,data\raw\masks\mask_0162.tif
data\raw\images\s2_0266.tif,data\raw\masks\mask_0266.tif
data\raw\images\s2_0171.tif,data\raw\masks\mask_0171.tif
data\raw\images\s2_0225.tif,data\raw\masks\mask_0225.tif
data\raw\images\s2_0079.tif,data\raw\masks\mask_0079.tif
data\raw\images\s2_0168.tif,data\raw\masks\mask_0168.tif
data\raw\images\s2_0274.tif,data\raw\masks\mask_0274.tif
data\raw\images\s2_0028.tif,data\raw\masks\mask_0028.tif
data\raw\images\s2_0244.tif,data\raw\masks\mask_0244.tif
data\raw\images\s2_0135.tif,data\raw\masks\mask_0135.tif
data\raw\images\s2_0095.tif,data\raw\masks\mask_0095.tif
data\raw\images\s2_0268.tif,data\raw\masks\mask_0268.tif
data\raw\images\s2_0300.tif,data\raw\masks\mask_0300.tif
data\raw\images\s2_0001.tif,data\raw\masks\mask_0001.tif
data\raw\images\s2_0341.tif,data\raw\masks\mask_0341.tif
data\raw\images\s2_0084.tif,data\raw\masks\mask_0084.tif
data\raw\images\s2_0233.tif,data\raw\masks\mask_0233.tif
data\raw\images\s2_0357.tif,data\raw\masks\mask_0357.tif
data\raw\images\s2_0417.tif,data\raw\masks\mask_0417.tif
data\raw\images\s2_0378.tif,data\raw\masks\mask_0378.tif
data\raw\images\s2_0334.tif,data\raw\masks\mask_0334.tif
data\raw\images\s2_0060.tif,data\raw\masks\mask_0060.tif
data\raw\images\s2_0005.tif,data\raw\masks\mask_0005.tif
data\raw\images\s2_0134.tif,data\raw\masks\mask_0134.tif
data\raw\images\s2_0250.tif,data\raw\masks\mask_0250.tif
data\raw\images\s2_0204.tif,data\raw\masks\mask_0204.tif
data\raw\images\s2_0206.tif,data\raw\masks\mask_0206.tif
data\raw\images\s2_0033.tif,data\raw\masks\mask_0033.tif
data\raw\images\s2_0379.tif,data\raw\masks\mask_0379.tif
data\raw\images\s2_0381.tif,data\raw\masks\mask_0381.tif
data\raw\images\s2_0081.tif,data\raw\masks\mask_0081.tif
data\raw\images\s2_0058.tif,data\raw\masks\mask_0058.tif
data\raw\images\s2_0025.tif,data\raw\masks\mask_0025.tif
data\raw\images\s2_0048.tif,data\raw\masks\mask_0048.tif
data\raw\images\s2_0264.tif,data\raw\masks\mask_0264.tif
data\raw\images\s2_0273.tif,data\raw\masks\mask_0273.tif
data\raw\images\s2_0073.tif,data\raw\masks\mask_0073.tif
data\raw\images\s2_0410.tif,data\raw\masks\mask_0410.tif
data\raw\images\s2_0353.tif,data\raw\masks\mask_0353.tif
data\raw\images\s2_0214.tif,data\raw\masks\mask_0214.tif
data\raw\images\s2_0229.tif,data\raw\masks\mask_0229.tif
data\raw\images\s2_0140.tif,data\raw\masks\mask_0140.tif
data\raw\images\s2_0288.tif,data\raw\masks\mask_0288.tif
data\raw\images\s2_0393.tif,data\raw\masks\mask_0393.tif
data\raw\images\s2_0132.tif,data\raw\masks\mask_0132.tif
data\raw\images\s2_0411.tif,data\raw\masks\mask_0411.tif
data\raw\images\s2_0365.tif,data\raw\masks\mask_0365.tif
data\raw\images\s2_0076.tif,data\raw\masks\mask_0076.tif
data\raw\images\s2_0245.tif,data\raw\masks\mask_0245.tif
data\raw\images\s2_0212.tif,data\raw\masks\mask_0212.tif
data\raw\images\s2_0267.tif,data\raw\masks\mask_0267.tif
data\raw\images\s2_0313.tif,data\raw\masks\mask_0313.tif
data\raw\images\s2_0318.tif,data\raw\masks\mask_0318.tif
data\raw\images\s2_0304.tif,data\raw\masks\mask_0304.tif
data\raw\images\s2_0113.tif,data\raw\masks\mask_0113.tif
data\raw\images\s2_0034.tif,data\raw\masks\mask_0034.tif
data\raw\images\s2_0143.tif,data\raw\masks\mask_0143.tif
data\raw\images\s2_0215.tif,data\raw\masks\mask_0215.tif
data\raw\images\s2_0169.tif,data\raw\masks\mask_0169.tif
data\raw\images\s2_0402.tif,data\raw\masks\mask_0402.tif
data\raw\images\s2_0122.tif,data\raw\masks\mask_0122.tif
data\raw\images\s2_0029.tif,data\raw\masks\mask_0029.tif
data\raw\images\s2_0174.tif,data\raw\masks\mask_0174.tif
data\raw\images\s2_0386.tif,data\raw\masks\mask_0386.tif
data\raw\images\s2_0299.tif,data\raw\masks\mask_0299.tif
data\raw\images\s2_0144.tif,data\raw\masks\mask_0144.tif
data\raw\images\s2_0418.tif,data\raw\masks\mask_0418.tif
data\raw\images\s2_0247.tif,data\raw\masks\mask_0247.tif
data\raw\images\s2_0339.tif,data\raw\masks\mask_0339.tif
data\raw\images\s2_0413.tif,data\raw\masks\mask_0413.tif
data\raw\images\s2_0286.tif,data\raw\masks\mask_0286.tif
data\raw\images\s2_0091.tif,data\raw\masks\mask_0091.tif
data\raw\images\s2_0326.tif,data\raw\masks\mask_0326.tif
data\raw\images\s2_0037.tif,data\raw\masks\mask_0037.tif
data\raw\images\s2_0142.tif,data\raw\masks\mask_0142.tif
